symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
SKIPPER,Skipper Limited,Capital Goods,Industrials,Engineering & Construction,6845.0,60.35,,"Skipper Limited manufactures and sells transmission and distribution structures, telecom towers, and fasteners in India. The company operates through three segments: Engineering Products, Infrastructure Projects, and Polymer Products. The Engineering Products segment offers power transmission towers, telecom towers, tower accessories, fasteners, angles, channels, high mast and swaged poles, solar"
PRAJIND,Praj Industries Limited,Capital Goods,Industrials,Engineering & Construction,5738.0,15.23,Industrial Machinery,"Praj Industries Limited operates in the field of bio-based technologies and engineering in India and internationally. It offers solutions for the ethanol industry, including multi-feed multi-product plants, modernization of existing plants, and renewable fuels comprising BioCNG, iso-butanol, etc.; and high purity system solutions for the biopharma industry, sterile formulations, topical and oral f"
TRANSRAILL,Transrail Lighting Limited,Capital Goods,Industrials,Engineering & Construction,5561.0,15.3,,"Transrail Lighting Limited, an engineering, procurement, and construction (EPC) company, engages in the designing, manufacturing, testing, installation, and supply of galvanized steel structures and conductors for power transmission and distribution in India and internationally. The company also provides EPC for civil construction, such as bridges, tunnels, elevated roads, and cooling towers; solu"
ASHOKLEY,Ashok Leyland Limited,Capital Goods,Industrials,Farm & Heavy Construction Machinery,95010.0,217.99,,"Ashok Leyland Limited, together with its subsidiaries, manufactures and sells commercial vehicles in India. It operates in Commercial Vehicle and Financial Service segments. The company offers ICV trucks, haulage vehicles, tractors, and tippers; buses; light commercial vehicle goods carriers and passenger vehicles, and small commercial vehicle goods carriers; defense vehicles, such as armored, hig"
ESCORTS,Escorts Kubota Limited,Capital Goods,Industrials,Farm & Heavy Construction Machinery,31026.0,16.69,,"Escorts Kubota Limited manufactures and sells agricultural and construction equipment in India and internationally. The company offers rotavators, straw reapers, super seeders, MB ploughs, orchard sprayers, paddy harvesters, seed drills, and rice transplanters; filters, pumps, engine assemblies, gear parts, clutch systems, hydraulic pumps, cylinders, lubricants, oils, and service kits; and generat"
ACE,Action Construction Equipment Limited,Capital Goods,Industrials,Farm & Heavy Construction Machinery,14645.0,34.98,,"Action Construction Equipment Limited manufactures and sells material handling and construction equipment primarily in India and internationally. The company operates through two segments: Crane, Material Handling and Construction equipment, and Agri Equipment. It also offers mobile cranes, truck mounted cranes, crawler cranes, rough terrain hydraulic mobile cranes, material handling equipment lik"
PTCIL,PTC Industries Limited,Capital Goods,Industrials,Metal Fabrication,33433.0,70.66,,"PTC Industries Limited manufactures and sells high-precision metal castings in India and internationally. The company offers torque tubes, airframe structural components, engine mounts, turbine frames, engine liners, swirlers, and injectors for aircraft structures and propulsion systems; turbine frames, blades, buckets, vanes, inlet and outlet structures, and bearing housings for aero engines; and"
RHIM,RHI MAGNESITA INDIA LIMITED,Capital Goods,Industrials,Metal Fabrication,7599.0,5.63,,"RHI Magnesita India Limited engages in the manufacture and trading of refractories, monolithics, bricks, and ceramic paper in India and internationally. The company offers isostatically pressed continuous casting refractories, slide gate plates, nozzles and well blocks, tundish nozzles, bottom purging refractories and top purging lances, slag arresting darts, castables, and high alumina bricks, an"
BALUFORGE,Balu Forge Industries Limited,Capital Goods,Industrials,Metal Fabrication,6296.0,80.02,,"Balu Forge Industries Limited manufactures and sells crankshafts in India and internationally. It offers bombshell, stainless steel flanges, valve components, stub ends, forged hydraulic fittings, railway wheels, axles, wheel sets, swan necks, flange balls, tow bar, sorting, snap, shank, ramshorn lifting hooks, hub, brake flange, disc, caliper, rotor, track, body and piston brakes, front axle beam"
TIMETECHNO,Time Technoplast Limited,Capital Goods,Consumer Cyclical,Packaging & Containers,8897.0,45.2,,"Time Technoplast Limited manufactures and sells composite and polymer products in India. It operates thorugh two segments, Polymer and Composite. The company offers industrial packaging products, including drums, containers, jerry cans, pails, and PET sheets under TECHPACK brand; infrastructure solutions, such as high-density polyethylene (HDPE) pipes under Max'M brand, as well as DWC pipes; and e"
